year,ic,value,donor_type,description,companyId,company,date,addrStreet,addrCity,addrZip
2020,05402450,15000.0,PO,dar,28319869,Družstvo Jeseníky,2020-10-02,,,
2020,05402450,500000.0,PO,dar,27182533,ERDEX A.S.,2020-06-11,,,
2020,05402450,500000.0,PO,dar,27207943,"F.R.C., A.S.",2020-06-11,,,
2020,05402450,500000.0,PO,dar,25725882,GORIS S.R.O.,2020-06-11,,,
2020,05402450,250000.0,PO,dar,25374770,ISMM PRODUCTION & BU,2020-07-01,,,
2020,05402450,85000.0,PO,dar,25374770,ISMM PRODUCTION & BU,2020-12-14,,,
2020,05402450,500000.0,PO,dar,5130620,JVC CONSULTING A.S.,2020-06-11,,,
2020,05402450,500000.0,PO,dar,27906604,PENSUM A.S.,2020-06-11,,,
2020,05402450,500000.0,PO,dar,4663276,VERANO REAL k.s.,2020-06-11,,,
2020,05989175,0.0,PO,dar,24689211,SYCORAX a.s.,2020-12-31,,,
2020,00442704,11991.0,PO,dar,25409727,"ADLER Czech, a.s.",2020-04-20,,,
2020,00442704,0.0,PO,dar,27776310,AFLUENTE a.s.,2020-08-17,,,
2020,00442704,0.0,PO,dar,49286838,"AGRICO, s.r.o.",2020-08-01,,,
2020,00442704,0.0,PO,dar,25586521,AGRO 2000 s.r.o.,2020-09-20,,,
2020,00442704,0.0,PO,dar,27725472,AGRO SMETANA s.r.o.,2020-08-23,,,
2020,00442704,0.0,PO,dar,25162331,ALFABETON s.r.o.,2020-09-01,,,
2020,00442704,20000.0,PO,dar,1940309,Andree - advokátní a insolvenční kancelář s.r.o.,2020-03-10,,,
2020,00442704,70000.0,PO,dar,22843094,"Antonius, z. s.",2020-09-09,,,
2020,00442704,0.0,PO,dar,64783561,"Apoštolská církev, sbor Hlinsko",2020-08-17,,,
2020,00442704,0.0,PO,dar,27476545,ATOMSTEEL s.r.o.,2020-08-17,,,
2020,00442704,0.0,PO,dar,26890186,AUTO HRAZDIRA s.r.o.,2020-08-06,,,
2020,00442704,0.0,PO,dar,27731502,"AXISPRO, s.r.o.",2020-08-23,,,
2020,00442704,20000.0,PO,dar,1494872,Baldovská s.r.o.,2020-11-18,,,
2020,00442704,0.0,PO,dar,26864207,BESKYDY SPORT s.r.o.,2020-09-01,,,
2020,00442704,0.0,PO,dar,65468953,Biskupství ostravsko-opavské,2020-09-01,,,
2020,00442704,0.0,PO,dar,65468953,Biskupství ostravsko-opavské,2020-09-03,,,
2020,00442704,14435.76,PO,dar,73078450,Blažková Janka,2020-01-28,,,
2020,00442704,0.0,PO,dar,25982508,"Bohemia Touristik, s.r.o.",2020-09-18,,,
2020,00442704,0.0,PO,dar,25089391,"CENTRUM DOHODY,s.r.o.",2020-09-16,,,
2020,00442704,0.0,PO,dar,28269888,"Centrum péče o ženu, s.r.o.",2020-08-01,,,
2020,00442704,0.0,PO,dar,61239330,"Cesta pro rodinu, z.ú.",2020-09-04,,,
2020,00442704,20000.0,PO,dar,46577238,"COMMODUM, spol. s r.o.",2020-09-29,,,
2020,00442704,15000.0,PO,dar,6135846,Construct-solution s.r.o.,2020-09-07,,,
2020,00442704,0.0,PO,dar,27755177,cresco&finance a.s.,2020-09-01,,,
2020,00442704,0.0,PO,dar,25198688,ČSAD STTRANS a.s.,2020-09-01,,,
2020,00442704,0.0,PO,dar,60934883,D U K O R s.r.o.,2020-09-04,,,
2020,00442704,0.0,PO,dar,60740426,"D-Holz, s.r.o.",2020-08-06,,,
2020,00442704,5000.0,PO,dar,60740426,"D-Holz, s.r.o.",2020-07-20,,,
2020,00442704,84000.0,PO,dar,15063879,David Smetana,2020-12-04,,,
2020,00442704,0.0,PO,dar,26028263,DH Dekor spol. s r.o.,2020-09-01,,,
2020,00442704,0.0,PO,dar,2953811,Disavino plus s.r.o.,2020-09-01,,,
2020,00442704,10000.0,PO,dar,25485822,Domácí lékárna s.r.o.,2020-02-21,,,
2020,00442704,10000.0,PO,dar,29246181,DOMUS SALUTIS s.r.o.,2020-09-08,,,
2020,00442704,2400.0,PO,dar,28606370,DOPRASTAV PERÚTKA s.r.o.,2020-07-27,,,
2020,00442704,4300.0,PO,dar,28606370,DOPRASTAV PERÚTKA s.r.o.,2020-06-30,,,
2020,00442704,3650.0,PO,dar,28606370,DOPRASTAV PERÚTKA s.r.o.,2020-08-30,,,
2020,00442704,75000.0,PO,dar,2928370,DPS Distribution s.r.o.,2020-07-26,,,
2020,00442704,0.0,PO,dar,4401701,DRAM Invest s.r.o.,2020-09-01,,,
2020,00442704,0.0,PO,dar,42193940,"Dřevojas, výrobní družstvo",2020-08-17,,,
2020,00442704,0.0,PO,dar,27763196,Dušan Hopp Auto Díly Servis s.r.o.,2020-09-01,,,
2020,00442704,5000.0,PO,dar,47239034,ELEKTROSTAV STRAKONICE s.r.o.,2020-01-29,,,
2020,00442704,0.0,PO,dar,25260766,EVT Stavby s.r.o.,2020-08-17,,,
2020,00442704,0.0,PO,dar,60886129,FAMOS RK,2020-08-01,,,
2020,00442704,0.0,PO,dar,6692389,FIAVI Volyně s.r.o.,2020-09-01,,,
2020,00442704,2000.0,PO,dar,24186007,Finacco KH s.r.o.,2020-03-09,,,
2020,00442704,0.0,PO,dar,43499538,"FK Kameničky, z.s.",2020-08-17,,,
2020,00442704,0.0,PO,dar,26076985,"GARANTSTAV ST, s.r.o.",2020-09-01,,,
2020,00442704,15000.0,PO,dar,8745854,Gatema Holding s. r. o.,2020-07-01,,,
2020,00442704,0.0,PO,dar,3159752,GDS Sylwia s.r.o.,2020-08-17,,,
2020,00442704,15000.0,PO,dar,26010623,Geodézie Česká Třebová s.r.o.,2020-01-22,,,
2020,00442704,0.0,PO,dar,8734739,Gočárův Semín z. s.,2020-08-17,,,
2020,00442704,50000.0,PO,dar,64508676,"HM, s.r.o.",2020-07-29,,,
2020,00442704,0.0,PO,dar,25852060,Horimex cars s.r.o.,2020-08-17,,,
2020,00442704,3000.0,PO,dar,27859070,Horský hotel KOHÚTKA s.r.o.,2020-02-03,,,
2020,00442704,0.0,PO,dar,26069351,HS Auto Staněk s.r.o.,2020-09-01,,,
2020,00442704,100000.0,PO,dar,7210906,"Hubertova lesní, s.r.o.",2020-10-21,,,
2020,00442704,20000.0,PO,dar,27720161,HYDRO & KOV s.r.o.,2020-09-04,,,
2020,00442704,0.0,PO,dar,28803108,CH - Dent s.r.o.,2020-08-17,,,
2020,00442704,0.0,PO,dar,45238642,Charita Šternberk,2020-09-04,,,
2020,00442704,0.0,PO,dar,28764528,CHEM Application s.r.o.,2020-08-17,,,
2020,00442704,0.0,PO,dar,70241007,"Ing. Eva Střelecká, Ing.",2020-09-05,,,
2020,00442704,0.0,PO,dar,48384704,Ing. Luboš Boxan,2020-09-09,,,
2020,00442704,0.0,PO,dar,88919781,Ing. Miroslav Tomšů,2020-08-23,,,
2020,00442704,100000.0,PO,dar,68690100,Ing. Radim Kocourek,2020-10-27,,,
2020,00442704,0.0,PO,dar,28627288,INNEASTAV s.r.o.,2020-09-01,,,
2020,00442704,0.0,PO,dar,88091112,Jakub Dostalík,2020-09-09,,,
2020,00442704,0.0,PO,dar,40331270,Jaromír Koryčanský,2020-08-23,,,
2020,00442704,0.0,PO,dar,64777324,Jaroslav Lorenc,2020-08-01,,,
2020,00442704,20000.0,PO,dar,60743638,"JASS-UNI, s.r.o.",2020-07-22,,,
2020,00442704,0.0,PO,dar,60743638,"JASS-UNI, s.r.o.",2020-08-23,,,
2020,00442704,0.0,PO,dar,26991268,Jesenický horský spolek,2020-09-01,,,
2020,00442704,0.0,PO,dar,25924222,JiNo s.r.o.,2020-08-17,,,
2020,00442704,0.0,PO,dar,73677116,Jiří Šperl,2020-09-01,,,
2020,00442704,0.0,PO,dar,1790226,JURONKA s.r.o.,2020-09-01,,,
2020,00442704,50000.0,PO,dar,6213022,"KALÁB - invest, s.r.o.",2020-10-09,,,
2020,00442704,100000.0,PO,dar,6213022,"KALÁB - invest, s.r.o.",2020-06-11,,,
2020,00442704,50000.0,PO,dar,6213022,"KALÁB - invest, s.r.o.",2020-09-24,,,
2020,00442704,20000.0,PO,dar,25522957,Kalírna Zlín - Chytil spol.s r.o.,2020-09-01,,,
2020,00442704,0.0,PO,dar,22981667,Karel Rakovský,2020-09-03,,,
2020,00442704,0.0,PO,dar,15529711,Katolický spolek,2020-08-06,,,
2020,00442704,0.0,PO,dar,47858591,"Katolický spolkový dům v Lipníku nad Bečvou, z.s.",2020-09-05,,,
2020,00442704,50000.0,PO,dar,25547453,KODRLA s.r.o.,2020-08-14,,,
2020,00442704,7500.0,PO,dar,61742821,"Kotková Marta,MUDr., praktický lékař pro děti a dorost",2020-11-27,,,
2020,00442704,0.0,PO,dar,7136790,Krejzl pila s.r.o.,2020-08-13,,,
2020,00442704,0.0,PO,dar,26554551,"KŘESŤANSKÝ SPOLEK DOBRATICE, z.s.",2020-09-15,,,
